9;452 F-Revista de Teoria de la Literatura y Literatura Comparada;2013-3294;2013-3294;;;;70;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4OR-A Quarterly Journal of Operations Research;1619-4500;1614-2411;4OR;1619-4500;1614-2411;70;;;;;;x;;;;x;;;;;;;;;;;;;;;;x;;;x;;x;;;;;;;x;;;;;;
11;A & A Practice;2325-7237;2325-7237;A & A case reports;2325-7237;;40;;;;;;;;;;;x;;;;;;;x;;x;;;;x;;;;;;;;;;;;;;;;;;;;
12;A + U-ARCHITECTURE AND URBANISM;0389-9160;;A + U-Architecture and Urbanism;0389-9160;;40;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
13;A&C-Revista de Direito Administrativo & Constitucional;1516-3210;1984-4182;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;
14;AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK;0171-5410;;AAA, Arbeiten aus Anglistik und Amerikanistik;0171-5410;;20;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;AACA Digital;1988-5180;1988-5180;;;;20;;;;;;;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;AACN Advanced Critical Care;1559-7768;1559-7776;AACN Advanced Critical Care;1559-7768;;40;;;;;;;;;;;x;;;;;;x;x;;x;;;;x;;;;;;;;;;;;;;;;;;;;
17;AAPG BULLETIN;0149-1423;1558-9153;AAPG Bulletin;0149-1423;;140;;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;
18;AAPS Journal;1550-7416;1550-7416;AAPS Journal;;1550-7416;100;;;;;;;;;;;;;;;;;x;x;;;;;;x;;;;;;;;;;;;;;;;;;;;
19;AAPS PHARMSCITECH;1530-9932;1530-9932;AAPS PharmSciTech;1530-9932;1522-1059;100;;;;;;;;;;;x;;;x;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;
20;AATCC Journal of Research;2330-5517;2330-5517;AATCC Journal of Research;2472-3444;2330-5517;20;;;;;;;;;;;x;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;
21;AATCC REVIEW;1532-8813;1532-8813;;;;20;;;;;;;;;;;x;;x;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space;2166-4072;2164-9731;Ab Imperio;2164-9731;;70;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
23;Abacus-A Journal of Accounting Finance and Business Studies;0001-3072;1467-6281;Abacus;0001-3072;;70;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;
24;Abakos;2316-9451;2316-9451;;;;20;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Abanico Veterinario;2007-4204;2007-4204;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
26;ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery;0102-6720;2317-6326;Arquivos brasileiros de cirurgia digestiva : ABCD = Brazilian archives of digestive surgery;0102-6720;;20;;;;;;;;;;;x;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;
27;Abdominal Radiology;2366-004X;2366-0058;Abdominal Radiology;2366-004X;2366-0058;70;;;;;;;;;;;x;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;
28;ABE Journal;2275-6639;2275-6639;;;;20;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG;0025-5858;1865-8784;Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg;0025-5858;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;
30;Aboriginal History;0314-8769;1837-9389;;;;70;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;
31;Aboriginal Policy Studies;1923-3299;1923-3299;;;;20;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;
32;Abriu-Estudos de Textualidade do Brasil Galicia e Portugal;2014-8526;2014-8534;;;;20;;;x;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;0065-7727;;;;;20;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;x;;;
34;Academia y Virtualidad;2011-0731;2011-0731;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;
35;Academia-Revista Latinoamericana de Administracion;1012-8255;1012-8255;Academia Revista Latinoamericana de Administracion;1012-8255;2056-5127;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;;;;;;
36;ACADEMIC EMERGENCY MEDICINE;1069-6563;1553-2712;Academic Emergency Medicine;1069-6563;;100;;;;;;;;;;;x;;;;;;x;x;;x;;;;x;;;;;;;;;;;;;;;;;;;;
37;Academic Journal of Modern Philology;2299-7164;2353-3218;;;;40;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;ACADEMIC MEDICINE;1040-2446;1938-808X;Academic Medicine;1040-2446;;140;;;;;;x;;;;;x;;;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;
39;Academic Pathology;2374-2895;2374-2895;Academic Pathology;;2374-2895;20;;;;;;;;;;;x;;;;;;;x;;x;;;;x;;;;;;;;;;;;;;;;;;;;
40;Academic Pediatrics;1876-2859;1876-2867;Academic Pediatrics;1876-2859;1876-2867;140;;;;;;;;;;;;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;
41;ACADEMIC PSYCHIATRY;1042-9670;1545-7230;Academic Psychiatry;1042-9670;1545-7230;70;;;;;;;;;;;x;;;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;
42;ACADEMIC RADIOLOGY;1076-6332;1878-4046;Academic Radiology;1076-6332;;70;;;;;;;;;;;x;;;;;;;x;;x;;;;x;;;;;;;;;;;;;;;;;;;;
43;Academy of Management Annals;1941-6520;1941-6067;Academy of Management Annals;1941-6520;1941-6067;200;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;
44;Academy of Management Discoveries;2168-1007;2168-1007;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
45;ACADEMY OF MANAGEMENT JOURNAL;0001-4273;1948-0989;Academy of Management Journal;0001-4273;;200;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
46;Academy of Management Learning & Education;1537-260X;;Academy of Management Learning and Education;1537-260X;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;
47;Academy of Management Perspectives;1558-9080;;Academy of Management Perspectives;1558-9080;1943-4529;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
48;ACADEMY OF MANAGEMENT REVIEW;0363-7425;1930-3807;Academy of Management Review;0363-7425;;200;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
49;ACADIENSIS;0044-5851;1712-7432;Acadiensis;0044-5851;;100;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
50;ACAROLOGIA;0044-586X;2107-7207;Acarologia;0044-586X;2107-7207;40;;;;;;;;;;;;;;;;;;;;x;x;;;x;x;;;;;;;;;;;;;;;x;;;;
51;ACCIDENT ANALYSIS AND PREVENTION;0001-4575;1879-2057;Accident Analysis and Prevention;0001-4575;;100;;;;;;;;;;;x;;x;;x;;x;x;;x;;;;;;;x;x;;;;;x;;;;;;;;;;;
52;Accion Psicologica;1578-908X;2255-1271;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;
53;Accountability in Research-Policies and Quality Assurance;0898-9621;1545-5815;Accountability in Research;0898-9621;;70;;x;;;;;;;;;x;;;;;;x;;;x;;;;;;;;;x;;;;x;;;;;;;;;;;
54;ACCOUNTING AND BUSINESS RESEARCH;0001-4788;2159-4260;Accounting and Business Research;0001-4788;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
55;Accounting and Finance;0810-5391;1467-629X;Accounting and Finance;0810-5391;;70;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;
56;Accounting Auditing & Accountability Journal;0951-3574;1758-4205;Accounting, Auditing and Accountability Journal;0951-3574;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
57;Accounting Economics and Law-A Convivium;2194-6051;2152-2820;Accounting, Economics and Law;;2152-2820;70;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;x;x;;;;;;;;;;;;
58;Accounting Education;0963-9284;1468-4489;Accounting Education;0963-9284;1468-4489;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;
59;Accounting Forum;0155-9982;1467-6303;Accounting Forum;0155-9982;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
60;Accounting Historians Journal;0148-4184;2327-4468;Accounting Historians Journal;0148-4184;2327-4468;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
61;Accounting History;1032-3732;1749-3374;Accounting History;1032-3732;1749-3374;70;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
62;Accounting History Review;2155-2851;2155-286X;Accounting History Review;2155-2851;2155-286X;70;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
63;Accounting Horizons;0888-7993;1558-7975;Accounting Horizons;0888-7993;1558-7975;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
64;Accounting in Europe;1744-9480;1744-9499;Accounting in Europe;1744-9480;1744-9499;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
65;ACCOUNTING ORGANIZATIONS AND SOCIETY;0361-3682;1873-6289;Accounting, Organizations and Society;0361-3682;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;;;;;
66;Accounting Perspectives;1911-382X;1911-3838;Accounting Perspectives;1911-382X;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
67;Accounting Research Journal;1030-9616;1839-5465;Accounting Research Journal;1030-9616;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
68;ACCOUNTING REVIEW;0001-4826;1558-7967;Accounting Review;0001-4826;;200;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;
69;ACCOUNTS OF CHEMICAL RESEARCH;0001-4842;1520-4898;Accounts of Chemical Research;0001-4842;1520-4898;200;;;;;;;;;;;x;;;x;;;x;x;;;;;;;;;;;;;;;;;;;;;;;x;;;
70;ACCREDITATION AND QUALITY ASSURANCE;0949-1775;1432-0517;Accreditation and Quality Assurance;0949-1775;1432-0517;40;;;;;;;;;;;x;;x;;x;;x;;;x;;x;;;x;;;;;;x;;;;;;;;;;;;;
71;ACE-Architecture City and Environment;1886-4805;1886-4805;Architecture, City and Environment;1887-7052;1886-4805;70;;;;;;;;x;;;;;;;;x;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
72;Acesso Livre;2319-0698;2319-0698;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
73;ACG Case Reports Journal;2326-3253;2326-3253;ACG Case Reports Journal;;2326-3253;40;;;;;;;;;;;x;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;x;;;
74;ACI MATERIALS JOURNAL;0889-325X;1944-737X;ACI Materials Journal;0889-325X;;70;;;;;;;;;;;x;x;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;
75;ACI STRUCTURAL JOURNAL;0889-3241;1944-7361;ACI Structural Journal;0889-3241;;100;;;;;;;;;;;x;;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;
76;ACM Communications in Computer Algebra;1932-2232;1932-2240;ACM Communications in Computer Algebra;1932-2232;;20;;;;;;;;;x;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;
77;ACM COMPUTING SURVEYS;0360-0300;1557-7341;ACM Computing Surveys;0360-0300;;200;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
78;ACM Journal of Data and Information Quality;1936-1955;1936-1955;Journal of Data and Information Quality;1936-1955;;70;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;
79;ACM Journal on Computing and Cultural Heritage;1556-4673;1556-4711;Journal of Computing and Cultural Heritage;1556-4673;;100;x;;x;;;x;x;x;;x;;;x;;;;;;;;;;;;;;;;;;x;;x;;;;;x;;;;;;
80;ACM Journal on Emerging Technologies in Computing Systems;1550-4832;1550-4840;ACM Journal on Emerging Technologies in Computing Systems;1550-4832;;70;;;;;;;;;;x;x;;;x;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;
81;ACM SIGCOMM Computer Communication Review;0146-4833;1943-5819;Computer Communication Review;0146-4833;;140;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;
82;ACM Transactions on Accessible Computing;1936-7228;1936-7236;ACM Transactions on Accessible Computing;1936-7228;;70;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
83;ACM Transactions on Algorithms;1549-6325;1549-6333;ACM Transactions on Algorithms;1549-6325;;100;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;
84;ACM Transactions on Applied Perception;1544-3558;1544-3965;ACM Transactions on Applied Perception;1544-3558;1544-3965;70;;;;;;;;;;x;x;;;;x;;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;
85;ACM Transactions on Architecture and Code Optimization;1544-3566;1544-3973;Transactions on Architecture and Code Optimization;1544-3566;1544-3973;70;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
86;ACM Transactions on Asian and Low-Resource Language Information Processing;2375-4699;2375-4702;ACM Transactions on Asian and Low-Resource Language Information Processing;2375-4699;2375-4702;40;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
87;ACM Transactions on Autonomous and Adaptive Systems;1556-4665;1556-4703;ACM Transactions on Autonomous and Adaptive Systems;1556-4665;;100;;;;;;;;;x;x;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
88;ACM Transactions on Computation Theory;1942-3454;1942-3462;ACM Transactions on Computation Theory;1942-3454;;70;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
89;ACM Transactions on Computational Logic;1529-3785;1557-945X;ACM Transactions on Computational Logic;1529-3785;;100;;x;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;x;;;;;;
90;ACM TRANSACTIONS ON COMPUTER SYSTEMS;0734-2071;1557-7333;ACM Transactions on Computer Systems;0734-2071;;200;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
91;ACM Transactions on Computer-Human Interaction;1073-0516;1557-7325;ACM Transactions on Computer-Human Interaction;1073-0516;;140;;;;;;;;x;x;x;x;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;x;;;;;;
92;ACM Transactions on Computing Education;1946-6226;1946-6226;ACM Transactions on Computing Education;;1946-6226;100;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
93;ACM Transactions on Cyber-Physical Systems;2378-962X;2378-9638;;;;20;;;;;;;;;x;x;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
94;ACM TRANSACTIONS ON DATABASE SYSTEMS;0362-5915;1557-4644;ACM Transactions on Database Systems;0362-5915;;100;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;
95;ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS;1084-4309;1557-7309;ACM Transactions on Design Automation of Electronic Systems;1084-4309;;70;;;;;;;;;x;x;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
96;ACM Transactions on Economics and Computation;2167-8375;2167-8383;ACM Transactions on Economics and Computation;2167-8375;2167-8383;40;;;;;;;;;x;x;;;;;;;;;;;;;;;;x;;;;;x;;;;;;;x;;;;;;
97;ACM Transactions on Embedded Computing Systems;1539-9087;1558-3465;Transactions on Embedded Computing Systems;1539-9087;;70;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
98;ACM TRANSACTIONS ON GRAPHICS;0730-0301;1557-7368;ACM Transactions on Graphics;0730-0301;;140;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
99;ACM TRANSACTIONS ON INFORMATION SYSTEMS;1046-8188;1558-2868;ACM Transactions on Information Systems;1046-8188;;140;;;;;;;;x;;x;x;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;
100;ACM Transactions on Intelligent Systems and Technology;2157-6904;2157-6912;ACM Transactions on Intelligent Systems and Technology;2157-6904;2157-6912;140;;;;;;;;x;x;x;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
101;ACM Transactions on Interactive Intelligent Systems;2160-6455;2160-6463;Transactions on Interactive Intelligent Systems;2160-6455;2160-6463;100;;;;;;;;x;x;x;x;;;;x;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;
102;ACM Transactions on Internet Technology;1533-5399;1557-6051;ACM Transactions on Internet Technology;1533-5399;;140;;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
103;ACM Transactions on Knowledge Discovery from Data;1556-4681;1556-472X;ACM Transactions on Knowledge Discovery from Data;1556-4681;;100;;;;;;;;x;;x;x;;;;x;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;
104;ACM Transactions on Management Information Systems;2158-656X;2158-6578;ACM Transactions on Management Information Systems;2158-656X;;70;;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;x;;;;;;
105;ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE;0098-3500;1557-7295;ACM Transactions on Mathematical Software;0098-3500;;200;;;;;;;;;x;x;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
106;ACM Transactions on Modeling and Computer Simulation;1049-3301;1558-1195;ACM Transactions on Modeling and Computer Simulation;1049-3301;;70;;;;;;;;x;x;x;x;;x;x;x;x;;;;;;;;;;;;;;;x;;;;;;;x;x;;;;;
107;ACM Transactions on Modeling and Performance Evaluation of Computing Systems;2376-3639;2376-3647;;;;20;;;;;;;;x;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
108;ACM Transactions on Multimedia Computing Communications and Applications;1551-6857;1551-6865;ACM Transactions on Multimedia Computing, Communications and Applications;1551-6857;;100;;;;;;;;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
109;ACM Transactions on Parallel Computing;2329-4949;2329-4957;;;;20;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
110;ACM Transactions on Privacy and Security;2471-2566;2471-2574;ACM Transactions on Privacy and Security;2471-2566;2471-2574;20;;;;;;;;x;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
111;ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS;0164-0925;1558-4593;ACM Transactions on Programming Languages and Systems;0164-0925;;140;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
112;ACM Transactions on Reconfigurable Technology and Systems;1936-7406;1936-7414;ACM Transactions on Reconfigurable Technology and Systems;1936-7406;1936-7414;70;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
113;ACM Transactions on Sensor Networks;1550-4859;1550-4867;ACM Transactions on Sensor Networks;1550-4859;;140;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
114;ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY;1049-331X;1557-7392;ACM Transactions on Software Engineering and Methodology;1049-331X;;100;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;
115;ACM Transactions on Spatial Algorithms and Systems;2374-0353;2374-0361;ACM Transactions on Spatial Algorithms and Systems;2374-0353;2374-0361;20;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;x;;;;;;;;;;;x;x;;;;;
116;ACM Transactions on Storage;1553-3077;1553-3093;ACM Transactions on Storage;1553-3077;;70;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
117;ACM Transactions on the Web;1559-1131;1559-114X;ACM Transactions on the Web;1559-1131;1559-114X;100;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
118;Acme-An International E-journal for Critical Geographies;1492-9732;1492-9732;ACME;;1492-9732;70;;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
119;ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano;0001-494X;2282-0035;;;;20;;;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;;;;;;;
120;ACOUSTICAL PHYSICS;1063-7710;1562-6865;Acoustical Physics;1063-7710;1562-6865;40;;;;;;;;x;x;;x;;;;x;;;;;x;;;;;;;;;;;;;;;;;;;;x;;x;;
121;Acoustical Science and Technology;1346-3969;1347-5177;Acoustical Science and Technology;1346-3969;1347-5177;20;;;;;;;;x;x;x;x;;;x;x;;;;;x;;;;;;;;;;;;;;;;;;;;x;;x;;
122;Acoustics Australia;1839-2571;1839-2571;Acoustics Australia;0814-6039;;40;;;;;;;;x;x;x;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
123;Acque Sotterranee-Italian Journal of Groundwater;1828-454X;1828-454X;;;;20;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
124;Across Languages and Cultures;1585-1923;1588-2519;Across Languages and Cultures;1585-1923;1588-2519;100;;;;x;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;ACS Applied Materials & Interfaces;1944-8244;;ACS Applied Materials & Interfaces;1944-8244;1944-8252;200;;;;;;;;;;;x;x;;x;x;;x;;;;x;;;;;;;;;;;;;;;;;;;;x;;;
126;ACS Biomaterials Science & Engineering;2373-9878;2373-9878;ACS Biomaterial Science and Engineering;;2373-9878;100;;;;;;;;;;;x;x;;x;x;;x;x;;x;;;;;;;;;;;;;;;;;;;;x;x;;;
127;ACS Catalysis;2155-5435;2155-5435;ACS Catalysis;;2155-5435;200;;;;;;;;;;;x;x;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;x;x;;;
128;ACS Central Science;2374-7943;2374-7951;ACS Central Science;2374-7943;2374-7951;200;;;;;;;;;;;x;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;
129;ACS Chemical Biology;1554-8929;1554-8937;ACS Chemical Biology;1554-8929;1554-8937;100;;;;;;;;;;;x;;;x;;;x;x;;;;x;;;;;;;;;;;;;;;;;;x;x;;;
130;ACS Chemical Neuroscience;1948-7193;1948-7193;ACS Chemical Neuroscience;1948-7193;;100;;;;;;;;;;;x;;;;;;x;x;;x;;;;x;;;;;;;;;;;;;;;;x;x;;;
131;ACS Combinatorial Science;2156-8952;2156-8944;ACS Combinatorial Science;2156-8952;2156-8944;100;;;;;;;;;;;x;;;;;;x;x;;x;;x;;;;;;;;;;;;;;;;;;;x;;;
132;ACS Earth and Space Chemistry;2472-3452;2472-3452;ACS Earth and Space Chemistry;;2472-3452;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;x;
133;ACS Energy Letters;2380-8195;2380-8195;ACS Energy Letters;;2380-8195;200;;;;;;;;;x;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;;
